CIRCLE_X	CIRCLE_Y	FIGURE_EIGHT_X	FIGURE_EIGHT_Y	LINE_TOP_TO_BOTTOM_X	LINE_TOP_TO_BOTTOM_Y	LINE_BOTTOM_TO_TOP_X	LINE_BOTTOM_TO_TOP_Y	SPIRAL_X	SPIRAL_Y	SQUARE_X	SQUARE_Y
480	621	540	621	910	711	170	1451	560	1141	90	631
730	661	740	721	750	871	370	1251	440	1171	530	631
900	801	750	941	560	1061	560	1061	410	1071	990	631
1000	1021	540	1081	370	1251	750	871	530	961	990	1071
970	1241	330	1221	170	1451	910	711	670	1021	990	1531
830	1441	340	1421					720	1171	530	1531
640	1531	520	1551					620	1331	90	1531
440	1531	740	1441					420	1341	90	1071
240	1431	740	1211					280	1221	90	631
120	1271	540	1081					260	1031		
80	1071	340	951					370	861		
130	871	330	751					600	811		
250	721	540	621					800	911		
480	621							890	1121		
								800	1391		
								530	1521		
								230	1421		
								90	1071		
								230	771		
								530	641		
								810	711		
								990	911		
