CIRCLE_X	CIRCLE_Y	FIGURE_EIGHT_X	FIGURE_EIGHT_Y	LINE_TOP_TO_BOTTOM_X	LINE_TOP_TO_BOTTOM_Y	LINE_BOTTOM_TO_TOP_X	LINE_BOTTOM_TO_TOP_Y	SQUARE_X	SQUARE_Y	SPIRAL_X	SPIRAL_Y
700	868	714	868	1246	952	238	1960	126	882	756	1596
1022	938	952	1008	1050	1148	518	1680	700	882	616	1624
1232	1148	868	1316	784	1414	784	1414	1316	882	560	1428
1330	1428	714	1470	518	1680	1050	1148	1316	1456	742	1316
1274	1736	518	1708	238	1960	1246	952	1316	2072	924	1428
1134	1932	518	1988					700	2072	952	1638
896	2058	714	2086					126	2072	826	1806
616	2086	938	1974					126	1498	574	1834
364	1974	924	1708					126	882	392	1708
182	1778	714	1470							336	1428
112	1498	532	1246							504	1176
168	1204	518	980							840	1120
378	966	714	868							1106	1302
700	868									1176	1568
										1050	1904
										700	2058
										336	1946
										112	1498
										308	1064
										742	882
										1134	1036
										1344	1274
