CIRCLE_X	CIRCLE_Y	FIGURE_EIGHT_X	FIGURE_EIGHT_Y	LINE_TOP_TO_BOTTOM_X	LINE_TOP_TO_BOTTOM_Y	LINE_BOTTOM_TO_TOP_X	LINE_BOTTOM_TO_TOP_Y	SQUARE_X	SQUARE_Y	SPIRAL_X	SPIRAL_Y
375	345.086	375	345.086	644.928	397.572	105.072	937.428	60.084	352.584	404.992	731.233
532.458	390.074	494.968	420.066	539.956	502.544	255.032	787.468	375	352.584	311.267	734.982
652.426	510.042	479.972	547.532	397.494	645.006	397.494	645.006	686.167	352.584	292.522	645.006
697.414	667.5	375	667.5	255.032	787.468	539.956	502.544	686.167	645.006	397.494	585.022
652.426	824.958	266.279	794.966	105.072	937.428	644.928	397.572	686.167	982.416	483.721	645.006
532.458	944.926	262.53	922.432					375	982.416	494.968	749.978
375	989.914	375	986.165					67.582	982.416	434.984	836.205
217.542	944.926	487.47	922.432					60.084	645.006	315.016	858.699
97.574	824.958	487.47	794.966					60.084	352.584	206.295	787.468
52.586	667.5	375	667.5							172.554	652.504
97.574	510.042	273.777	547.532							270.028	506.293
217.542	390.074	262.53	420.066							449.98	485.6735
375	345.086	371.251	345.086							577.446	585.022
										614.936	734.982
										551.203	881.193
										375	971.169
										180.052	918.683
										60.084	689.994
										165.056	442.56
										397.494	360.082
										599.94	442.56
										689.916	555.03
